date,time,location,airline_operator,flight_no,route,aircraft_type,all_aboard,passengers_aboard,crew_aboard,total_fatalities,passenger_fatalities,crew_fatalities,summary,date_time,country,city,superficie,category,brand,survivors,survival_rate,year,fatality_index
1908-09-17,17:18:00,"Fort Myer, Virginia",MILITARY - U.S. ARMY,,Demonstration,Wright Flyer III,2.0,1.0,1.0,1,1.0,0.0,"During a demonstration flight, a U.S. Army flyer flown by Orville Wright nose-dived into the ground from a height of approximately 75 feet, killing Lt. Thomas E. Selfridge, 26, who was a passenger. This was the first recorded airplane fatality in history.  One of two propellers separated in flight, tearing loose the wires bracing the rudder and causing the loss of control of the aircraft.  Orville Wright suffered broken ribs, pelvis and a leg.  Selfridge suffered a crushed skull and died a short time later.",1908-09-17 17:18:00,United States,Fort Myer,False,military,Wright Brothers,1.0,0.5,1908,0.5
1909-09-07,,"Juvisy-sur-Orge, France",,,Air show,Wright Byplane,1.0,0.0,1.0,1,0.0,0.0,"Eugene Lefebvre was the first pilot to ever be killed in an air accident, after his controls jambed while flying in an air show.",,France,Juvisy-sur-Orge,False,passenger,Wright Brothers,0.0,0.0,1909,1.0
1912-07-12,06:30:00,"Atlantic City, New Jersey",MILITARY - U.S. NAVY,,Test flight,Dirigible,5.0,0.0,5.0,5,0.0,5.0,"First U.S. dirigible Akron exploded just offshore at an altitude of 1,000 ft. during a test flight.",1912-07-12 06:30:00,United States,Atlantic City,False,military,other,0.0,0.0,1912,1.0
1913-08-06,,"Victoria, British Columbia, Canada",PRIVATE,,,Curtiss seaplane,1.0,0.0,1.0,1,0.0,1.0,"The first fatal airplane accident in Canada occurred when American barnstormer, John M. Bryant, California aviator was killed.",,Canada,"Victoria, British Columbia",False,passenger,other,0.0,0.0,1913,1.0
1913-09-09,18:30:00,Over the North Sea,MILITARY - GERMAN NAVY,,,Zeppelin L-1 (airship),20.0,,,14,,,The airship flew into a thunderstorm and encountered a severe downdraft crashing 20 miles north of Helgoland Island into the sea. The ship broke in two and the control car immediately sank drowning its occupants.,1913-09-09 18:30:00,other,Over the North Sea,True,military,other,6.0,0.30000000000000004,1913,0.7
1913-10-17,10:30:00,"Near Johannisthal, Germany",MILITARY - GERMAN NAVY,,,Zeppelin L-2 (airship),28.0,,,28,,,"Hydrogen gas which was being vented was sucked into the forward engine and ignited causing the airship to explode and burn at 3,000 ft..German Navy's Zeppelin airships L-4 and L-5 were blown out to sea in February 1915, never to be seen again.",1913-10-17 10:30:00,Germany,Near Johannisthal,False,military,other,0.0,0.0,1913,1.0
1915-03-05,01:00:00,"Tienen, Belgium",MILITARY - GERMAN NAVY,,,Zeppelin L-8 (airship),41.0,0.0,41.0,17,0.0,17.0,Crashed into trees while attempting to land after being shot down by British and French aircraft.,1915-03-05 01:00:00,Belgium,Tienen,False,military,other,24.0,0.5853658536585367,1915,0.4146341463414634
1915-09-03,15:20:00,"Off Cuxhaven, Germany",MILITARY - GERMAN NAVY,,,Zeppelin L-10 (airship),19.0,,,19,,,"Exploded and burned near Neuwerk Island,  when hydrogen gas, being vented, was ignited by lightning.",1915-09-03 15:20:00,Germany,Off Cuxhaven,False,military,other,0.0,0.0,1915,1.0
1916-07-28,,"Near Jambol, Bulgeria",MILITARY - GERMAN ARMY,,,Schutte-Lanz S-L-10 (airship),20.0,,,20,,,"Crashed near the Black Sea, cause unknown.",,other,Near Jambol,False,military,other,0.0,0.0,1916,1.0
1916-09-24,01:00:00,"Billericay, England",MILITARY - GERMAN NAVY,,,Zeppelin L-32 (airship),22.0,,,22,,,Shot down by British aircraft crashing in flames.,1916-09-24 01:00:00,England,Billericay,False,military,other,0.0,0.0,1916,1.0
